algo,size,freq_mhz,joules,time_ms
fannkuchredux_v8,10,2700,1.814697000,305.376501000
fannkuchredux_v8,10,2700,1.715271000,303.614758000
fannkuchredux_v8,10,2700,2.031189000,317.756535000
fannkuchredux_v8,10,2700,2.596863000,309.307508000
fannkuchredux_v8,10,2700,2.048584000,320.073451000
fannkuchredux_v8,10,2700,1.791748000,303.847901000
fannkuchredux_v8,10,2700,2.637207000,334.125550000
fannkuchredux_v8,10,2700,2.150757000,318.462075000
fannkuchredux_v8,10,2700,1.844421000,317.367713000
fannkuchredux_v8,10,2700,1.765442000,303.408688000
fannkuchredux_v8,10,2700,2.030152000,319.503936000
fannkuchredux_v8,10,2700,1.778748000,306.022859000
fannkuchredux_v8,10,2700,1.841065000,317.277260000
fannkuchredux_v8,10,2700,1.815490000,303.768066000
fannkuchredux_v8,10,2700,1.841308000,317.275878000
fannkuchredux_v8,10,2700,1.773133000,303.862418000
fannkuchredux_v8,10,2700,1.884521000,320.900925000
fannkuchredux_v8,10,2700,1.811645000,305.571952000
fannkuchredux_v8,10,2700,1.861817000,317.044285000
fannkuchredux_v8,10,2700,1.788880000,302.727595000
fannkuchredux_v8,10,2700,1.819336000,316.640246000
fannkuchredux_v8,10,2700,1.781555000,305.683198000
fannkuchredux_v8,10,2700,2.882141000,365.702014000
fannkuchredux_v8,10,2700,1.762939000,302.772732000
fannkuchredux_v8,10,2700,1.871460000,317.080611000
fannkuchredux_v8,10,2700,1.780823000,304.243134000
fannkuchredux_v8,10,2700,2.005005000,318.421066000
fannkuchredux_v8,10,2700,3.447571000,422.594296000
fannkuchredux_v8,10,2700,1.856933000,319.228103000
fannkuchredux_v8,10,2700,1.884888000,310.906102000
fannkuchredux_v8,10,2700,1.910522000,322.573825000
fannkuchredux_v8,10,2700,1.763489000,303.718341000
fannkuchredux_v8,10,2700,1.894776000,319.674558000
fannkuchredux_v8,10,2700,1.972839000,303.342355000
fannkuchredux_v8,10,2700,1.763245000,302.638742000
fannkuchredux_v8,10,2700,1.810242000,316.703476000
fannkuchredux_v8,10,2700,1.723877000,303.042074000
fannkuchredux_v8,10,2700,2.274414000,320.138764000
fannkuchredux_v8,10,2700,2.461059000,332.936047000
fannkuchredux_v8,10,2700,1.860656000,317.809089000
fannkuchredux_v8,10,2700,1.776733000,305.902033000
fannkuchredux_v8,10,2700,2.062684000,318.712092000
fannkuchredux_v8,10,2700,1.764099000,303.178458000
fannkuchredux_v8,10,2700,1.838745000,317.291202000
fannkuchredux_v8,10,2700,1.742310000,302.710912000
fannkuchredux_v8,10,2700,1.917541000,320.325496000
fannkuchredux_v8,10,2700,1.826110000,303.317905000
fannkuchredux_v8,10,2700,1.819030000,314.878052000
fannkuchredux_v8,10,2700,2.459228000,323.361869000
fannkuchredux_v8,10,2700,1.787415000,304.307724000
fannkuchredux_v8,10,2700,1.857483000,317.748205000
fannkuchredux_v8,10,2700,1.784973000,303.175320000
fannkuchredux_v8,10,2700,1.852844000,317.614404000
fannkuchredux_v8,10,2700,2.396790000,322.657476000
fannkuchredux_v8,10,2700,2.300170000,326.741139000
fannkuchredux_v8,10,2700,1.771729000,303.011668000
fannkuchredux_v8,10,2700,2.035523000,326.025787000
fannkuchredux_v8,10,2700,1.931519000,304.813303000
fannkuchredux_v8,10,2700,2.041565000,319.955068000
fannkuchredux_v8,10,2700,2.414551000,336.372412000
fannkuchredux_v8,10,2700,1.881347000,316.518775000
fannkuchredux_v8,10,2700,1.741700000,303.649537000
fannkuchredux_v8,10,2700,1.828492000,316.669974000
fannkuchredux_v8,10,2700,1.778259000,302.855420000
fannkuchredux_v8,10,2700,2.119568000,343.143527000
fannkuchredux_v8,10,2700,1.855103000,308.649751000
fannkuchredux_v8,10,2700,1.794983000,317.031576000
